#####
supreme-snow01
fd5c | 08/19/2022 | 00:52:52 | Power Unit #0xd2 | Upper Critical going high | Deasserted
fd5d | 08/19/2022 | 00:53:09 | Power Unit #0xd2 | Upper Non-critical going high | Deasserted
fd5e | 08/19/2022 | 00:54:40 | Power Unit #0xd2 | Upper Non-critical going high | Asserted
fd5f | 08/19/2022 | 00:54:40 | Power Unit #0xd2 | Upper Critical going high | Asserted
fd60 | 08/19/2022 | 00:54:53 | Power Unit #0xd2 | Upper Critical going high | Deasserted
fd61 | 08/19/2022 | 00:55:12 | Power Unit #0xd2 | Upper Non-critical going high | Deasserted
fd62 | 08/19/2022 | 00:56:07 | Power Unit #0xd2 | Upper Non-critical going high | Asserted
fd63 | 08/19/2022 | 00:56:07 | Power Unit #0xd2 | Upper Critical going high | Asserted
fd64 | 08/19/2022 | 00:56:37 | Power Unit #0xd2 | Upper Critical going high | Deasserted
fd65 | 08/19/2022 | 00:56:37 | Power Unit #0xd2 | Upper Non-critical going high | Deasserted
fd66 | 08/19/2022 | 00:56:59 | Power Unit #0xd2 | Upper Non-critical going high | Asserted
fd67 | 08/19/2022 | 00:56:59 | Power Unit #0xd2 | Upper Critical going high | Asserted
fd68 | 08/19/2022 | 00:57:13 | Power Unit #0xd2 | Upper Critical going high | Deasserted
fd69 | 08/19/2022 | 00:57:13 | Power Unit #0xd2 | Upper Non-critical going high | Deasserted
fd6a | 08/19/2022 | 00:57:34 | Power Unit #0xd2 | Upper Non-critical going high | Asserted
fd6b | 08/19/2022 | 00:57:34 | Power Unit #0xd2 | Upper Critical going high | Asserted
fd6c | 08/19/2022 | 00:57:46 | Power Unit #0xd2 | Upper Critical going high | Deasserted
fd6d | 08/19/2022 | 00:57:46 | Power Unit #0xd2 | Upper Non-critical going high | Deasserted
fd6e | 08/19/2022 | 00:58:30 | Power Unit #0xd2 | Upper Non-critical going high | Asserted
fd6f | 08/19/2022 | 00:58:44 | Power Unit #0xd2 | Upper Non-critical going high | Deasserted
#####
supreme-snow02
390d | 09/19/2022 | 17:11:22 | Power Unit #0xd2 | Upper Non-critical going high | Asserted
390e | 09/19/2022 | 17:11:22 | Power Unit #0xd2 | Upper Critical going high | Asserted
390f | 09/19/2022 | 17:11:34 | Power Unit #0xd2 | Upper Critical going high | Deasserted
3910 | 09/19/2022 | 17:11:34 | Power Unit #0xd2 | Upper Non-critical going high | Deasserted
3911 | 09/19/2022 | 17:13:21 | Power Unit #0xd2 | Upper Non-critical going high | Asserted
3912 | 09/19/2022 | 17:13:21 | Power Unit #0xd2 | Upper Critical going high | Asserted
3913 | 09/19/2022 | 17:13:33 | Power Unit #0xd2 | Upper Critical going high | Deasserted
3914 | 09/19/2022 | 17:13:33 | Power Unit #0xd2 | Upper Non-critical going high | Deasserted
3915 | 09/19/2022 | 17:15:19 | Power Unit #0xd2 | Upper Non-critical going high | Asserted
3916 | 09/19/2022 | 17:15:19 | Power Unit #0xd2 | Upper Critical going high | Asserted
3917 | 09/19/2022 | 17:15:50 | Power Unit #0xd2 | Upper Critical going high | Deasserted
3918 | 09/19/2022 | 17:15:50 | Power Unit #0xd2 | Upper Non-critical going high | Deasserted
3919 | 09/19/2022 | 17:17:03 | Power Unit #0xd2 | Upper Non-critical going high | Asserted
391a | 09/19/2022 | 17:17:03 | Power Unit #0xd2 | Upper Critical going high | Asserted
391b | 09/19/2022 | 17:17:49 | Power Unit #0xd2 | Upper Critical going high | Deasserted
391c | 09/19/2022 | 17:17:49 | Power Unit #0xd2 | Upper Non-critical going high | Deasserted
391d | 09/19/2022 | 17:19:18 | Power Unit #0xd2 | Upper Non-critical going high | Asserted
391e | 09/19/2022 | 17:19:30 | Power Unit #0xd2 | Upper Critical going high | Asserted
391f | 09/19/2022 | 17:19:49 | Power Unit #0xd2 | Upper Critical going high | Deasserted
3920 | 09/19/2022 | 17:19:49 | Power Unit #0xd2 | Upper Non-critical going high | Deasserted
#####
supreme-thunder01
   1 | 01/19/2017 | 09:01:35 | Processor #0x91 | Presence detected | Asserted
   2 | 01/19/2017 | 09:01:35 | Power Supply #0x9b | Presence detected | Asserted
   3 | 01/19/2017 | 09:01:39 | Processor #0x90 | Presence detected | Asserted
   4 | 01/19/2017 | 09:01:39 | Power Supply #0x9a | Presence detected | Asserted
   5 | 01/19/2017 | 09:01:45 | System Event | OEM System boot event | Asserted
   6 | 01/19/2017 | 09:02:00 | System Event | Timestamp Clock Sync | Asserted
   7 | 07/31/2017 | 23:45:02 | System Event | Timestamp Clock Sync | Asserted
   8 | 01/19/2017 | 09:01:32 | System Event | OEM System boot event | Asserted
   9 | 01/19/2017 | 09:01:38 | Processor #0x91 | Presence detected | Asserted
   a | 01/19/2017 | 09:01:38 | Power Supply #0x9b | Presence detected | Asserted
   b | 01/19/2017 | 09:01:41 | Processor #0x90 | Presence detected | Asserted
   c | 01/19/2017 | 09:01:41 | Power Supply #0x9a | Presence detected | Asserted
   d | 01/19/2017 | 09:01:48 | System Event | Timestamp Clock Sync | Asserted
   e | 07/31/2017 | 23:54:56 | System Event | Timestamp Clock Sync | Asserted
